epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.01325,1.46294,4.83583,1.2939,0,0,0,0,1.22202,4.88483,1.13253,5.88e-06,5.88e-06,5.88e-06
2,3.20229,1.62156,5.2828,1.31331,0,0,0,0,1.16763,4.90374,1.10278,1.46515e-05,1.46515e-05,1.46515e-05
3,4.18424,1.01227,7.51486,0.89727,0,0,0,0,1.17501,4.90096,1.09756,2.33648e-05,2.33648e-05,2.33648e-05
4,5.24508,1.65685,4.77003,1.41194,0,0,0,0,1.17848,4.90079,1.10264,3.20198e-05,3.20198e-05,3.20198e-05
5,6.33538,1.18349,4.72707,1.07601,0,0,0,0,1.1828,4.90906,1.09527,4.06167e-05,4.06167e-05,4.06167e-05
6,7.38978,0.88188,7.3533,0.82386,0,0,0,0,1.20659,4.9059,1.09275,4.91553e-05,4.91553e-05,4.91553e-05
7,8.39872,1.37725,4.62374,1.19833,0,0,0,0,1.22179,4.9057,1.08169,5.76358e-05,5.76358e-05,5.76358e-05
8,9.45462,0.94407,7.29106,0.8384,0,0,0,0,1.20382,4.93161,1.08327,6.6058e-05,6.6058e-05,6.6058e-05
9,10.5896,1.12787,4.55328,1.10419,0,0,0,0,1.20382,4.93161,1.08327,7.4422e-05,7.4422e-05,7.4422e-05
10,11.9564,1.50011,4.65762,1.36837,0,0,0,0,1.20111,4.9721,1.10144,8.27278e-05,8.27278e-05,8.27278e-05
11,12.9362,0.9886,4.94994,1.03579,0,0,0,0,1.20111,4.9721,1.10144,9.09754e-05,9.09754e-05,9.09754e-05
12,13.9309,1.15388,4.57545,1.12919,0,0,0,0,1.16502,5.04604,1.13812,9.91647e-05,9.91647e-05,9.91647e-05
13,15.0281,1.05722,4.55232,1.05981,0,0,0,0,1.16502,5.04604,1.13812,0.000107296,0.000107296,0.000107296
14,16.2094,1.21154,4.42699,1.14251,0,0,0,0,1.13573,5.10249,1.14335,0.000115369,0.000115369,0.000115369
15,17.3675,1.13331,4.32665,1.10856,0,0,0,0,1.13573,5.10249,1.14335,0.000123384,0.000123384,0.000123384
16,18.3894,1.12496,4.49372,1.0584,0,0,0,0,1.13573,5.10249,1.14335,0.00013134,0.00013134,0.00013134
17,19.5944,1.02698,4.40257,1.00169,0,0,0,0,1.16069,5.11589,1.15643,0.000139238,0.000139238,0.000139238
18,20.6752,1.10324,4.23815,1.02995,0,0,0,0,1.16069,5.11589,1.15643,0.000147078,0.000147078,0.000147078
19,21.7738,1.19212,4.313,1.12525,0,0,0,0,1.16069,5.11589,1.15643,0.00015486,0.00015486,0.00015486
20,22.9518,1.476,4.69765,1.18559,0,0,0,0,1.18589,5.11307,1.16919,0.000162584,0.000162584,0.000162584
21,24.2292,1.1733,4.23587,1.05263,0,0,0,0,1.18589,5.11307,1.16919,0.00017025,0.00017025,0.00017025
22,25.3971,1.03164,4.31534,1.01891,0,0,0,0,1.18589,5.11307,1.16919,0.000177857,0.000177857,0.000177857
23,26.6331,0.96441,4.19298,0.99586,0,0,0,0,1.18589,5.11307,1.16919,0.000185406,0.000185406,0.000185406
24,27.7001,0.9816,4.22862,0.99074,0,0,0,0,1.25276,5.0467,1.18403,0.000192897,0.000192897,0.000192897
25,28.9847,1.07529,4.2106,1.05925,0,0,0,0,1.25276,5.0467,1.18403,0.000200329,0.000200329,0.000200329
26,30.2351,1.05591,4.14969,0.96919,0,0,0,0,1.25276,5.0467,1.18403,0.000207704,0.000207704,0.000207704
